group,league,value
Chile,Other,124
Chile,Colombia,0
Chile,Turkey,0
Chile,Chile,348
Chile,Ecuador,0
Chile,Portugal,0
Chile,Argentina,0
Chile,France,0
Chile,Bolivia,0
Chile,Peru,0
Chile,Germany,959
Chile,Brazil,1301
Chile,Spain,570
Chile,Mexico,0
Chile,Italy,2373
Chile,England,595
Argentina,Other,360
Argentina,Colombia,0
Argentina,Turkey,0
Argentina,Chile,0
Argentina,Ecuador,0
Argentina,Portugal,0
Argentina,Argentina,13
Argentina,France,537
Argentina,Bolivia,0
Argentina,Peru,0
Argentina,Germany,0
Argentina,Brazil,0
Argentina,Spain,1767
Argentina,Mexico,0
Argentina,Italy,1384
Argentina,England,2209
Peru,Other,140
Peru,Colombia,0
Peru,Turkey,0
Peru,Chile,0
Peru,Ecuador,0
Peru,Portugal,764
Peru,Argentina,0
Peru,France,0
Peru,Bolivia,0
Peru,Peru,2851
Peru,Germany,1037
Peru,Brazil,540
Peru,Spain,0
Peru,Mexico,0
Peru,Italy,539
Peru,England,0
Paraguay,Other,836
Paraguay,Colombia,180
Paraguay,Turkey,0
Paraguay,Chile,360
Paraguay,Ecuador,0
Paraguay,Portugal,0
Paraguay,Argentina,677
Paraguay,France,233
Paraguay,Bolivia,0
Paraguay,Peru,0
Paraguay,Germany,702
Paraguay,Brazil,450
Paraguay,Spain,0
Paraguay,Mexico,2219
Paraguay,Italy,283
Paraguay,England,0
Uruguay,Other,0
Uruguay,Colombia,0
Uruguay,Turkey,360
Uruguay,Chile,0
Uruguay,Ecuador,0
Uruguay,Portugal,365
Uruguay,Argentina,675
Uruguay,France,661
Uruguay,Bolivia,0
Uruguay,Peru,0
Uruguay,Germany,0
Uruguay,Brazil,27
Uruguay,Spain,933
Uruguay,Mexico,360
Uruguay,Italy,275
Uruguay,England,187
Colombia,Other,180
Colombia,Colombia,0
Colombia,Turkey,0
Colombia,Chile,0
Colombia,Ecuador,0
Colombia,Portugal,107
Colombia,Argentina,208
Colombia,France,0
Colombia,Bolivia,0
Colombia,Peru,0
Colombia,Germany,0
Colombia,Brazil,423
Colombia,Spain,806
Colombia,Mexico,259
Colombia,Italy,775
Colombia,England,1202
Bolivia,Other,718
Bolivia,Colombia,0
Bolivia,Turkey,253
Bolivia,Chile,146
Bolivia,Ecuador,0
Bolivia,Portugal,0
Bolivia,Argentina,0
Bolivia,France,0
Bolivia,Bolivia,2843
Bolivia,Peru,0
Bolivia,Germany,0
Bolivia,Brazil,0
Bolivia,Spain,0
Bolivia,Mexico,0
Bolivia,Italy,0
Bolivia,England,0
Brazil,Other,324
Brazil,Colombia,0
Brazil,Turkey,0
Brazil,Chile,0
Brazil,Ecuador,0
Brazil,Portugal,0
Brazil,Argentina,0
Brazil,France,397
Brazil,Bolivia,0
Brazil,Peru,0
Brazil,Germany,242
Brazil,Brazil,869
Brazil,Spain,900
Brazil,Mexico,0
Brazil,Italy,0
Brazil,England,1228
Ecuador,Other,404
Ecuador,Colombia,0
Ecuador,Turkey,0
Ecuador,Chile,0
Ecuador,Ecuador,1129
Ecuador,Portugal,0
Ecuador,Argentina,57
Ecuador,France,0
Ecuador,Bolivia,0
Ecuador,Peru,0
Ecuador,Germany,0
Ecuador,Brazil,180
Ecuador,Spain,0
Ecuador,Mexico,394
Ecuador,Italy,0
Ecuador,England,806
Venezuela,Other,1030
Venezuela,Colombia,454
Venezuela,Turkey,160
Venezuela,Chile,0
Venezuela,Ecuador,0
Venezuela,Portugal,0
Venezuela,Argentina,0
Venezuela,France,270
Venezuela,Bolivia,0
Venezuela,Peru,0
Venezuela,Germany,0
Venezuela,Brazil,0
Venezuela,Spain,296
Venezuela,Mexico,248
Venezuela,Italy,332
Venezuela,England,120
Mexico,Other,229
Mexico,Colombia,0
Mexico,Turkey,0
Mexico,Chile,0
Mexico,Ecuador,0
Mexico,Portugal,0
Mexico,Argentina,0
Mexico,France,0
Mexico,Bolivia,0
Mexico,Peru,0
Mexico,Germany,0
Mexico,Brazil,0
Mexico,Spain,308
Mexico,Mexico,2370
Mexico,Italy,63
Mexico,England,0
Jamaica,Other,1488
Jamaica,Colombia,0
Jamaica,Turkey,0
Jamaica,Chile,0
Jamaica,Ecuador,0
Jamaica,Portugal,0
Jamaica,Argentina,0
Jamaica,France,0
Jamaica,Bolivia,0
Jamaica,Peru,0
Jamaica,Germany,0
Jamaica,Brazil,0
Jamaica,Spain,0
Jamaica,Mexico,0
Jamaica,Italy,0
Jamaica,England,1482
